X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
902;816;0.3527044;0.5670534;0.2070397;0.5576321;734.6;0.2353343;False;24.05.2024 14:06:22:587;1716552382587;;
745;817;0.2910717;0.5675631;0.1678074;0.6029212;734.3;0.2453039;False;24.05.2024 14:06:22:606;1716552382606;;
698;818;0.2728052;0.5686682;0.2198746;0.615483;734.0;0.2451854;False;24.05.2024 14:06:22:623;1716552382623;;
706;829;0.2761536;0.5761408;0.3998621;0.6708344;732.4;0.2476095;False;24.05.2024 14:06:22:643;1716552382643;;
684;829;0.2672541;0.576279;0.2386155;0.5917361;730.3;0.2554751;False;24.05.2024 14:06:22:663;1716552382663;;
670;829;0.2620068;0.5763448;0.2384587;0.5806258;728.3;0.2552342;False;24.05.2024 14:06:22:678;1716552382678;;
668;834;0.2611628;0.5795166;0.2573547;0.6453067;727.0;0.2527111;False;24.05.2024 14:06:22:698;1716552382698;;
656;838;0.2564754;0.5824251;0.2322456;0.6535491;725.7;0.252364;False;24.05.2024 14:06:22:715;1716552382715;;
646;842;0.2526467;0.5851458;0.2322935;0.65354;724.6;0.2524446;False;24.05.2024 14:06:22:731;1716552382731;;
613;843;0.2398185;0.5857969;0.1936388;0.6270485;725.4;0.2560878;False;24.05.2024 14:06:22:752;1716552382752;;
609;846;0.237969;0.587868;0.2274897;0.6478285;724.8;0.2551775;False;24.05.2024 14:06:22:772;1716552382772;;
575;846;0.2249081;0.588024;0.1669113;0.6091604;724.2;0.2548806;False;24.05.2024 14:06:22:789;1716552382789;;
553;886;0.2162979;0.6156498;0.1767108;0.7834291;726.0;0.2315091;False;24.05.2024 14:06:22:808;1716552382808;;
558;913;0.2180752;0.6347028;0.2512504;0.785295;727.6;0.2313136;False;24.05.2024 14:06:22:824;1716552382824;;
530;924;0.2072786;0.6419551;0.1598315;0.7292757;733.7;0.2149171;False;24.05.2024 14:06:22:845;1716552382845;;
513;931;0.2006513;0.6468344;0.1597893;0.7292783;739.2;0.2148294;False;24.05.2024 14:06:22:861;1716552382861;;
516;959;0.2018486;0.6662158;0.2692843;0.8039402;745.9;0.2163099;False;24.05.2024 14:06:22:881;1716552382881;;
506;971;0.1978515;0.6746314;0.1724186;0.7690443;750.6;0.2307574;False;24.05.2024 14:06:22:901;1716552382901;;
